Date,Open,High,Low,Close
2002-10-31,100.094303,100.094303,98.99947099999999,99.76915000000001
2002-11-30,100.00572200000002,101.02165200000002,100.00572200000002,100.64621500000001
2002-12-31,100.76814600000002,100.89157500000002,100.70543400000003,100.89157500000002
2003-01-31,100.94035405868101,101.02627433286679,100.77719926600133,100.77719926600133
2003-02-28,100.83511506571432,100.93944906125331,100.73120582370605,100.83943221620855
2003-03-31,100.90271141204855,100.91223961239153,100.25466666534003,100.58638000345654
2003-04-30,100.5543015271853,101.16318924472058,100.52733623593507,101.13514340470209
2003-05-31,101.16735707568382,101.20893752048859,100.5358091104036,100.61316268095611
2003-06-30,100.75613108730988,101.27304402724357,100.74214045260462,101.05963413214059
2003-07-31,101.12225652382733,101.8488837004718,101.12225652382733,101.83330301454454
2003-08-31,101.70206527161605,101.84453325575777,101.63256005668278,101.7909497402753
2003-09-30,101.86587485061753,101.94215291698052,101.67812370086855,101.83028837428354
2003-10-31,101.94542785750504,102.12515812704154,101.79793849967554,101.80515224728804
2003-11-30,101.91447533121078,102.1920542858453,101.79029394503777,102.1920542858453
2003-12-31,102.19251536034304,102.82510049101428,102.18706317963004,102.80986182752628
2004-01-31,102.90408809398981,103.25362723082281,102.79583650617575,103.09801113966479
2004-02-29,103.17835807478164,103.26553878141414,103.05613565484381,103.21202419213566
2004-03-31,103.2183932630759,103.23783357984885,102.93434914872017,103.01798188702101
2004-04-30,103.03808738359999,103.2699195096266,102.99387708681691,103.16331493579902
2004-05-31,103.21734665868247,103.28143627034854,102.91069568380948,102.96226716669943
2004-06-30,102.94201362391942,103.10335314008536,102.93203798302628,103.01446887404234
2004-07-31,103.027443478605,103.04090745810994,102.86539868678692,103.04090745810994
2004-08-31,103.04245783082631,103.15351407167108,102.97927397404298,103.13210905843857
2004-09-30,103.13146135630906,103.20768253167078,103.13146135630906,103.19524048219239
2004-10-31,103.21695700930624,103.26157237694491,103.15931666027262,103.22755567796204
2004-11-30,103.25623654511607,103.66015593026405,103.25131812132622,103.63458094903584
2004-12-31,103.66167134762738,103.95946628100256,103.63758916559291,103.91700992046226
2005-01-31,103.91093804957261,103.99989620591501,103.88595224370734,103.95168183082222
2005-02-28,103.98220745248636,104.19189535178428,103.91780696392834,104.1618248866236
2005-03-31,104.17880076936423,104.36546065926377,103.95573459420919,103.95573459420919
2005-04-30,103.97166611100008,104.02362981181079,103.66731085483471,103.81544870915673
2005-05-31,103.86358722483226,103.932017615035,103.68146331241581,103.932017615035
2005-06-30,103.97621144101394,104.29680476914949,103.97621144101394,104.20737171207175
2005-07-31,104.20810848367208,104.58355232715392,104.20810848367208,104.54415115367249
